Index,ID,Name,Brand,Colours,Price($),Gender,Currency,Date
63,AVpfrAO3LJeJML43BlSV,Independent Boot Company Van Buren Men  Round Toe Leather Tan Western Boot,Independent Boot Company,Beige,179.99,Men's,USD,2016-10-04
64,AVpe6sfjLJeJML43yQM4,Twisted X Work Boot Mens Cowboy Lite Rubber St Oiled Saddle Mlcs015,Twisted X,Oiled Saddle,179.99,Men's,USD,2016-01-14
65,AVpfsfUV1cnluZ0-pkHO,Justin Boots Work Boots Mens Western Waterproof Leather Wyoming Wk2119,Justin Boots,Wyoming,179.95,Men's,USD,2016-03-30
66,AVpfDbPS1cnluZ0-c3vv,Dan Post Men's Dp69691 Albuquerque 12 Steel Toe Waterproof Cowboy Boot - Tan,Dan Post,Brown,174.95,Men's,USD,2016-03-25
67,AVpf7uh8ilAPnD_xkvMP,"Justin Original Workboots Size 10 Plain Toe Work Boots, Men's, Brown, D, 4760",JUSTIN ORIGINAL WORKBOOTS,Brown,174.95,Men's,USD,2017-01-11
68,AVpfYO1CLJeJML438K9N,Justin Boots Work Boots Mens Double Comfort Round Toe Western Aged Bark 4794,Justin Boots,Aged Bark,174.95,Men's,USD,2016-03-31
69,AVpfdu06LJeJML439qV0,Justin Boots Work Boots Mens Briar Pitstop Lace Up Round Toe Briar 761,Justin Boots,Briar,174.95,Men's,USD,2016-03-31
70,AVpfiJaeilAPnD_xddhb,"The Original Muckboots Adult Woody Elite Boot,camo/bark,men' Multi-colored",MUCK BOOT,Multi-Colored,173.69,Men's,USD,2016-05-11
71,AVpfRLeVLJeJML4358R2,"Tony Lama Boot Co. Size 9-1/2 Composite Toe Work Boots, Men's, Brown, D, Tw4004",TONY LAMA BOOT CO.,Brown,172.95,Men's,USD,2017-01-11
72,AVpfXZBA1cnluZ0-jdOp,"Justin Boots 11 Rugged Bay Guacho Round Toe Leather Work Boot""",Justin Boots,Brown,171.99,Men's,USD,2016-10-04
73,AVpe5q2hilAPnD_xQcIx,Puma Safety Shoes Athletic Style Work Shoes 642565-09,Puma Safety Shoes,GrayHi Vis Yellow,171.81,Men's,USD,2016-11-02
74,AVpfSmc_1cnluZ0-h7Nd,Puma Ultimate Sf-10 Men  Round Toe Leather Red Sneakers,PUMA,Whisper White,171.38,Men's,USD,2017-01-11
75,AVpfEqeC1cnluZ0-dTi_,Nike Mercurial Vapor S.g. Mens Soccer Cleats Football Boots Size 8 Us 302722-297,Nike,Multi-Color,170.1,Men's,USD,2016-04-10
76,AVpfuG6x1cnluZ0-qDH2,Mephisto Mens Jasper Suede Lace Up Chukka Boot Dark Brown Clint Us 11,Mephisto,Dark Brown Clint,169.99,Men's,USD,2017-01-11
77,AVpfPAiFilAPnD_xXyio,"Georgia Boot G008-12-w Work Boots,leather,8 In,12w,pr",Georgia Boot,Brown,169.99,Men's,USD,2017-01-11
78,AVpfHMg61cnluZ0-eK6c,"Georgia Boot G008-11-w Work Boots,leather,8 In,11w,pr",Georgia Boot,Brown,169.99,Men's,USD,2017-01-11
79,AVpfl1qzLJeJML43AC7C,Twisted X Work Boots Mens Lacer Lite Rubber Distressed Saddle Mlcwl02,Twisted X,Distressed Saddle,169.99,Men's,USD,2016-01-01
80,AVpfDG4UilAPnD_xTzVA,"Georgia Boot G008-12-m Work Boots,leather,8 In,12m,pr",Georgia Boot,Brown,169.99,Men's,USD,2017-01-11
81,AVpfNOp91cnluZ0-gLDB,Twisted X Western Boots Mens Leather Cowboy Bomber Mwt0012,Twisted X,Bomber,167.45,Men's,USD,2016-01-14
82,AVpfjjJXLJeJML43_V5q,Twisted X Western Boots Mens Leather Cowboy Distressed Saddle Mwt0004,Twisted X,Distressed Saddle,167.45,Men's,USD,2016-01-14
83,AVpfkXXFilAPnD_xeJN0,Twisted X Work Boots Mens Cowboy Steel Toe Distressed Black Mlcs014,Twisted X,Distressed Black,167.45,Men's,USD,2016-01-14
84,AVpfcR7l1cnluZ0-k03f,Justin Boots Work Boots Mens Rugged Utah Composite Toe Western Brown Cw677,Justin Boots,Brown,166.0,Men's,USD,2016-03-31
85,AVpe7tkO1cnluZ0-aJKi,Muck Arctic Pro Boots Camo Premium Waterproof Hunting Boots (new) Mens 11,Muck,Multi-Color,165.99,Men's,USD,2016-03-27
86,AVpe7CrXLJeJML43yYSc,New Mens 7.5 Nike Hypervenom Phantom Sg Pr White Blue Soccer Cleats Futball Boot,Nike,White,165.82,Men's,USD,2016-04-10
87,AVpe5wdPLJeJML43x5zG,Oakland Raiders Slippers - Stripe Big Logo,Forever Collectibles,Multicolor,165.19,Men's,USD,2017-01-11
88,AVpfdgFXilAPnD_xcJlJ,Bruno Magli Men's Leather Padusia Glitter Penny Loafers Shoes Black,Bruno Magli,Black,165.0,Men's,USD,2017-01-11
89,AVpfiUVEilAPnD_xdgng,Dan Post Men's Dp69680 Albuquerque 12 Waterproof Work Wellington Boot - Black,Dan Post,Black,164.99,Men's,USD,2016-03-25
90,AVpfX72iLJeJML438FIm,Muck Woody Sport Boot Camo Men's 9 Women's 10 Wds-9,MuckBoot,Multicolor,164.95,Men's,USD,2016-10-31
91,AVpfApLULJeJML430YrV,Justin Boots Work Boot Men Hybred Rugged Utah Waterproof Brown Wk4628,Justin Boots,Brown,164.95,Men's,USD,2016-03-31
92,AVpfaR9o1cnluZ0-kSYg,Justin Boots Work Boot Mens Buffalo Ortholite Insole Leather Mahogany Wk2106,Justin Boots,Mahogany Brown,164.95,Men's,USD,2016-03-31
93,AVpfOWmzLJeJML435BBW,Creative Recreation Moretti Sneakers In Grey Brown,Creative Recreation,Grey Brown,164.95,Men's,USD,2017-01-08
94,AVpfVi0DilAPnD_xZ5hM,Justin Boots Work Boots Mens Worker Ii Wyoming St Waterproof Tan Wk4981,Justin Boots,Tan,164.95,Men's,USD,2016-03-31
95,AVpfZ_L8LJeJML438rH4,"Justin Original Workboots Size 8-1/2 Composite Toe Work Boots, Men's, Brown, Ee, Wk4625",JUSTIN ORIGINAL WORKBOOTS,Brown,164.95,Men's,USD,2017-01-11
96,AVpffv0uLJeJML43-OPN,Tony Lama Sonora-tw4015 Work Boot Men  Composite Toe Leather Brown Work Boot,Tony Lama,Red,163.99,Men's,USD,2017-01-12
97,AVpfJn4NilAPnD_xWBZk,El Naturalista Mens N901 Recyclus El Walking Shoes,El Naturalista,Black,160.99,Men's,USD,2016-10-05
