Index,ID,Name,Brand,Colours,Gender,Price($),Currency,Date
91,AWpYjYu50U_gzG0hh5Xz,Women's Aerosoles Incentive Bootie,Aerosoles,Black Nubuck,Women's,197.06,USD,2019-04-21
92,AWo0es6RJbEilcB6MR-e,CORRAL Women's Distressed Bronze Crystal Embroidered Cross Cowgirl Boot Snip Toe Bronze 10 M US,Corral,Bronze,Women's,195.0,USD,2019-04-19
93,AWo0e7tGAGTnQPR7q_fL,CORRAL Women's Distressed Bronze Crystal Embroidered Cross Cowgirl Boot Snip Toe Bronze 10 M US,Corral,Bronze,Women's,195.0,USD,2019-04-19
94,AWo0mS55JbEilcB6MUT6,CORRAL Women's Distressed Bronze Crystal Embroidered Cross Cowgirl Boot Snip Toe Bronze 10 M US,Corral,Bronze,Women's,195.0,USD,2019-04-19
95,AWo0gFN1AGTnQPR7rAAb,CORRAL Women's Distressed Bronze Crystal Embroidered Cross Cowgirl Boot Snip Toe Bronze 10 M US,Corral,Bronze,Women's,195.0,USD,2019-04-19
96,AWo0hQf_0U_gzG0hezmw,CORRAL Women's Distressed Bronze Crystal Embroidered Cross Cowgirl Boot Snip Toe Bronze 10 M US,Corral,Bronze,Women's,195.0,USD,2019-04-19
97,AWo0gSDc0U_gzG0hezHX,women's softwalk ramsey lace chukka bootie,SoftWalk,Burgundy Leather,Women's,191.59,USD,2019-04-27
98,AWpoA2eqAGTnQPR7vW6c,women's softwalk ramsey lace chukka bootie,SoftWalk,Sand Leather,Women's,191.59,USD,2019-04-27
99,AWozwR460U_gzG0helYR,"Women's SAS, Huarache Sandal",SAS,TAN LEATHER,Women's,191.59,USD,2019-04-19
100,AWo0hYCiAGTnQPR7rAo0,women's softwalk ramsey lace chukka bootie,SoftWalk,Sand Leather,Women's,191.59,USD,2019-04-27
101,AWo0g81fJbEilcB6MTBm,Women's Diba True What To Do Riding Boot,Diba True,Chocolate Leather,Women's,191.16,USD,2019-04-19
102,AWo0h2CwAGTnQPR7rA4e,Women's Diba True What To Do Riding Boot,Diba True,Chocolate Leather,Women's,191.16,USD,2019-04-19
103,AWo0f0eJJbEilcB6MSeu,Women's Pleaser Bejeweled 1018DM-7 Ankle Boot,Pleaser,Black Faux Leather,Women's,189.95,USD,2019-04-19
104,AWo0hecF0U_gzG0hezt9,Women's Pleaser Bejeweled 1018DM-7 Ankle Boot,Pleaser,White,Women's,189.95,USD,2019-04-19
105,AWpn1InT0U_gzG0hjHRP,Women's Pleaser Bejeweled 1018DM-7 Ankle Boot,Pleaser,Black Faux Leather,Women's,189.95,USD,2019-04-19
106,AWpn2m0TM263mwCq-JRz,Mcrae Women's STEEL TOE Lace Up Green Hiking Boot 10 W,Mcrae,Black,Women's,189.35,USD,2019-04-30
107,AWo0hpcPAGTnQPR7rAx5,women's pleaser adore 1020lg platform ankle boot,pleaser,Black Patent,Women's,189.18,USD,2019-04-19
108,AWpi415WJbEilcB6QKCY,Diba True Leg Up Boot,Diba True,Whiskey Suede,Women's,188.95,USD,2019-04-27
109,AWpi4XMaAGTnQPR7u1y_,Diba True Leg Up Boot,Diba True,Dark,Women's,188.95,USD,2019-04-27
110,AWpjFGtkM263mwCq9uSG,Women's Bogs B Puffy Tall Winter Boot,Bogs,Dark Gray Nylon,Women's,183.98,USD,2019-04-27
111,AWozsyu-M263mwCq5k9c,"Women's SAS, Siesta Lace up Shoe",SAS,WHITE,Women's,183.98,USD,2019-04-19
112,AWo0haGaM263mwCq50U6,Women's L'Artiste by Spring Step Waterlily Ankle Boot,L'Artiste by Spring Step,Brown Multi Leather Combo,Women's,183.92,USD,2019-04-19
113,AWozvrVZM263mwCq5l1I,Women's L'Artiste by Spring Step Waterlily Ankle Boot,L'Artiste by Spring Step,Brown Multi Leather Combo,Women's,183.92,USD,2019-04-19
114,AWpx9Gq-JbEilcB6RTvQ,Women's Whiteout Fleck Winter Boot,Bogs,Grape Fleck,Women's,183.92,USD,2019-04-19
115,AWoue8Wn0U_gzG0hd4jg,women's steve madden sinful heeled slide,steve-madden,White,Women's,183.92,USD,2019-04-18
116,AWpISCNhAGTnQPR7tDXH,Women's Vionic with Orthaheel Technology Romi Loafer,Vionic with Orthaheel Technology,Black Velvet,Women's,183.92,USD,2019-04-23
117,AWpsKuoM0U_gzG0hjUAI,Women's Pleaser Bejeweled 1018DM-7 Ankle Boot,Pleaser,Clear PVC,Women's,182.95,USD,2019-04-19
118,AWo0gXDDJbEilcB6MSuD,Women's Pleaser Bejeweled 1018DM-7 Ankle Boot,Pleaser,Clear and Silver Multi Rhinestone,Women's,182.95,USD,2019-04-19
119,AWpxf-zq0U_gzG0hjtLJ,New Franco Sarto Womens 30712L1 Black Ankle Strap Sandals Size 8,Franco Sarto,Sand,Women's,182.47,USD,2019-04-29
120,AWpNaVsPJbEilcB6Owi-,Sorel Women's Tofino Ii Black / Stone Mid-Calf Canvas Snow Boot - 6.5M,Sorel,Black ,Women's,182.41,USD,2019-04-19
121,AWpDH7kEAGTnQPR7sqgc,MICHAEL Michael Kors Womens Heather Boot Leather Block Heel Knee-High Boots,MICHAEL Michael Kors,Dark Caramel,Women's,180.0,USD,2019-04-27
122,AWo0gtCXM263mwCq5z_I,Women's L'Artiste by Spring Step Lovely Tall Boot,L'Artiste by Spring Step,Navy Multi Leather Combo,Women's,179.99,USD,2019-04-19
123,AWo0h7bpAGTnQPR7rA6o,Women's L'Artiste by Spring Step Lovely Tall Boot,L'Artiste by Spring Step,Navy Multi Leather Combo,Women's,179.99,USD,2019-04-19
124,AWo0fgw4M263mwCq5zc3,Women's L'Artiste by Spring Step Barbie Tall Boot,L'Artiste by Spring Step,Red Multi Leather,Women's,179.99,USD,2019-04-19
125,AWo0fcfsJbEilcB6MSUo,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Orange Multi Leather,Women's,179.99,USD,2019-04-19
126,AWo0iOxlJbEilcB6MToQ,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Orange Multi Leather,Women's,179.99,USD,2019-04-19
127,AWo0hBfx0U_gzG0hezfx,Women's L'Artiste by Spring Step Lovely Tall Boot,L'Artiste by Spring Step,Camel Multi Leather Combo,Women's,179.99,USD,2019-04-19
128,AWo0gtdOM263mwCq5z_e,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Black Multi Leather,Women's,179.95,USD,2019-04-19
129,AWo0lUFLAGTnQPR7rBmP,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Black Multi Leather,Women's,179.95,USD,2019-04-19
130,AWpxbrFnAGTnQPR7v3Tx,UGG Classic Short Stargirl Women's Boots 1098474,UGG,Blue,Women's,179.95,USD,2019-04-27
131,AWpxbBwYJbEilcB6RKnU,UGG Classic Short Stargirl Women's Boots 1098474,UGG,Seal,Women's,179.95,USD,2019-04-27
132,AWo0fW8X0U_gzG0heyus,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Gray Multi Leather,Women's,179.95,USD,2019-04-19
133,AWo0gQRj0U_gzG0hezGT,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Gray Multi Leather,Women's,179.95,USD,2019-04-19
134,AWo0iZE8JbEilcB6MTtv,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Black Multi Leather,Women's,179.95,USD,2019-04-19
135,AWo0howD0U_gzG0hezzL,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Gray Multi Leather,Women's,179.95,USD,2019-04-19
136,AWo0hWqxAGTnQPR7rAoG,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Gray Multi Leather,Women's,179.95,USD,2019-04-19
137,AWovafiBJbEilcB6LmaC,Kiki Embossed Leather Platform Sandals,Gentle Souls by Kenneth Cole,NATURAL,Women's,179.0,USD,2019-04-18
138,AWozy6TUJbEilcB6MFWV,"new balance women's w990v4 running shoes,komen pink,8 b us",catan,Komen Pink,Women's,176.29,USD,2019-04-24
139,AWo0RVEZM263mwCq5vHp,Women's Lillian Bootie,Trotters,Dark Grey Leather,Women's,176.26,USD,2019-04-19
140,AWozyJG50U_gzG0hels-,ELLIE 821-LONDYN Women's 7 Heeled Clear Light Up Platform Sandals,ELLIE,CLEAR,Women's,176.22,USD,2019-04-19
